trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.005, 'e': 0.6785569656238398}",20,15,-10.199974050982625,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
166,False,"{'a': 0.005, 'e': 0.674875760071267}",25,18,6.772167173172445,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.005, 'e': 0.6711776826598423}",20,6,-0.2480529092991146,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.005, 'e': 0.6674628258413081}",25,0,-164.79320477737394,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
169,False,"{'a': 0.005, 'e': 0.6637312824868916}",20,0,-35.49194772029672,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
170,False,"{'a': 0.005, 'e': 0.6599831458849822}",35,4,-41.567342008474064,"{0: 24, 1: 1, 2: 5, 3: 1, 4: 0}",1
171,False,"{'a': 0.005, 'e': 0.6562185097387998}",30,13,-29.28699647506179,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
172,False,"{'a': 0.005, 'e': 0.6524374681640519}",25,0,-89.17867019266095,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
173,False,"{'a': 0.005, 'e': 0.648640115686581}",25,7,-24.084799173785758,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
174,False,"{'a': 0.005, 'e': 0.6448265472400012}",20,0,12.459888505265083,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
175,False,"{'a': 0.005, 'e': 0.6409968581633251}",25,0,-60.88757325469678,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
176,False,"{'a': 0.005, 'e': 0.6371511441985802}",20,0,-76.14868722700976,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
177,False,"{'a': 0.005, 'e': 0.6332895014884152}",20,10,5.685834769712155,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.005, 'e': 0.6294120265736969}",30,0,-21.030953854759478,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
179,False,"{'a': 0.005, 'e': 0.625518816391096}",20,0,-133.52563974960626,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
180,False,"{'a': 0.005, 'e': 0.6216099682706644}",30,16,-58.814820686695114,"{0: 9, 1: 1, 2: 1, 3: 3, 4: 0}",1
181,False,"{'a': 0.005, 'e': 0.6176855799334016}",20,9,-49.98056643636992,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
